Time; Serial.print output 
t; x; y; theta
51355677.733000; -0.37; 1.69; -91.25
51371801.016000; -0.37; 1.69; -88.38
51386169.532000; -0.37; 1.69; -85.95
51402329.111000; -0.37; 1.69; -82.92
51419933.902000; -0.37; 1.69; -79.75
51434210.133000; -0.37; 1.69; -77.37
51450220.863000; -0.37; 1.69; -74.48
51474760.363000; -0.37; 1.69; -69.95
51482272.659000; -0.37; 1.69; -68.77
51499459.406000; -0.37; 1.69; -65.50
51514191.150000; -0.37; 1.69; -62.98
51537609.142000; -0.37; 1.69; -58.85
51548115.654000; -0.37; 1.69; -56.77
51562317.388000; -0.37; 1.69; -54.32
51579685.496000; -0.37; 1.69; -51.11
51595758.056000; -0.37; 1.69; -48.23
51610188.634000; -0.37; 1.69; -45.69
51626291.314000; -0.37; 1.69; -42.76
51644217.988000; -0.37; 1.69; -39.60
51658301.267000; -0.37; 1.69; -37.23
51675425.336000; -0.37; 1.69; -33.96
51692079.871000; -0.37; 1.69; -31.00
51706155.941000; -0.37; 1.69; -28.60
51722789.790000; -0.37; 1.69; -25.47
51738867.515000; -0.37; 1.69; -22.61
51755239.790000; -0.37; 1.69; -19.66
51770177.671000; -0.37; 1.69; -16.99
51787464.410000; -0.37; 1.69; -13.89
51802184.325000; -0.37; 1.69; -11.55
51818350.235000; -0.37; 1.69; -8.40
51835190.823000; -0.37; 1.69; -5.35
51850150.056000; -0.37; 1.69; -2.84
51870511.030000; -0.37; 1.69; 0.48
51883267.709000; -0.37; 1.69; 0.48
51899365.666000; -0.37; 1.69; 0.48
51916111.556000; -0.37; 1.69; 0.48
51930206.526000; -0.37; 1.69; 0.48
51946684.818000; -0.37; 1.69; 0.48
51962984.102000; -0.37; 1.69; 0.48
51980155.428000; -0.37; 1.69; 0.48
51996422.867000; -0.37; 1.69; 0.48
52010203.760000; -0.37; 1.69; 0.48
52026512.381000; -0.37; 1.69; 0.48
52042424.523000; -0.37; 1.69; 0.48
52058156.721000; -0.37; 1.69; 0.48
52075598.882000; -0.37; 1.69; 0.48
52090179.067000; -0.37; 1.69; 0.48
52107882.539000; -0.37; 1.69; 0.48
52122157.964000; -0.37; 1.69; 0.48
52139350.760000; -0.37; 1.69; 0.48
52155394.146000; -0.37; 1.69; 0.48
52171694.386000; -0.37; 1.69; 0.48
52186209.595000; -0.37; 1.69; 0.48
52202185.813000; -0.37; 1.69; 0.48
52218888.368000; -0.37; 1.69; 0.48
52236013.868000; -0.37; 1.69; 0.48
52250277.478000; -0.37; 1.69; 0.48
52266221.374000; -0.37; 1.69; 0.48
52283503.016000; -0.37; 1.69; 0.48
52318191.630000; -0.37; 1.69; 0.48
52321310.927000; -0.37; 1.69; 0.48
52330107.880000; -0.37; 1.69; 0.48
52346226.623000; -0.37; 1.69; 0.48
52364197.856000; -0.37; 1.69; 0.48
52378130.251000; -0.37; 1.69; 0.48
52396314.749000; -0.37; 1.69; 0.48
52410273.593000; -0.37; 1.69; 0.48
52427419.979000; -0.37; 1.69; 0.48
52442338.899000; -0.37; 1.69; 0.48
52459473.804000; -0.37; 1.69; 0.48
52474317.246000; -0.37; 1.69; 0.48
52492110.188000; -0.37; 1.69; 0.48
52506151.724000; -0.37; 1.69; 0.48
52523507.219000; -0.37; 1.69; 0.48
52538180.734000; -0.37; 1.69; 0.48
52554588.234000; -0.37; 1.69; 0.48
52571092.538000; -0.37; 1.69; 0.48
52587595.305000; -0.37; 1.69; 0.48
52602266.883000; -0.37; 1.69; 0.48
52618360.590000; -0.37; 1.69; 0.48
52634209.456000; -0.37; 1.69; 0.48
52650384.812000; -0.37; 1.69; 0.48
52666146.944000; -0.37; 1.69; 0.48
52682366.063000; -0.37; 1.69; 0.48
52698632.942000; -0.37; 1.69; 0.48
52714355.881000; -0.37; 1.69; 0.48
52730932.081000; -0.37; 1.69; 0.48
52746149.074000; -0.37; 1.69; 0.48
52762229.015000; -0.37; 1.69; 0.48
52779260.217000; -0.37; 1.69; 0.48
52794125.267000; -0.37; 1.69; 0.48
52810129.893000; -0.37; 1.69; 0.48
52827640.618000; -0.37; 1.69; 0.48
52844283.797000; -0.37; 1.69; 0.48
52859969.601000; -0.37; 1.69; 0.48
52875169.887000; -0.37; 1.69; 0.48
52891277.264000; -0.37; 1.69; 0.48
52906199.125000; -0.37; 1.69; 0.48
52923405.215000; -0.37; 1.69; 0.48
52939943.959000; -0.37; 1.69; 0.48
52954157.065000; -0.37; 1.69; 0.48
52970718.236000; -0.37; 1.69; 0.48
52988200.021000; -0.37; 1.69; 0.48
53002178.081000; -0.37; 1.69; 0.48
53019417.943000; -0.37; 1.69; 0.48
53034289.214000; -0.37; 1.69; 0.48
53051262.506000; -0.37; 1.69; 0.48
53066177.902000; -0.37; 1.69; 0.48
53082771.856000; -0.37; 1.69; 0.48
53099826.678000; -0.37; 1.69; 0.48
53114145.758000; -0.37; 1.69; 0.48
53130196.147000; -0.37; 1.69; 0.48
53147387.141000; -0.37; 1.69; 0.48
53163343.650000; -0.37; 1.69; 0.48
53178121.385000; -0.37; 1.69; 0.48
53194998.324000; -0.37; 1.69; 0.48
53210173.621000; -0.37; 1.69; 0.48
53227004.464000; -0.37; 1.69; 0.48
53244389.806000; -0.37; 1.69; 0.48
53258490.200000; -0.37; 1.69; 0.48
53275922.435000; -0.37; 1.69; 0.48
53290200.029000; -0.37; 1.69; 0.48
53306772.664000; -0.37; 1.69; 0.48
