Time; Serial.print output 
5154048.538000;  57.02; 0; 16.78
5394203.402999;  57.02; 13; 13.90
5648740.670999;  57.02; 24; 10.90
5906753.331999;  57.02; 33; 8.14
6144741.837999;  57.02; 39; 6.19
6400749.697000;  57.02; 43; 4.85
6641942.386000;  57.02; 47; 3.48
6897120.580999;  57.02; 49; 2.79
7137182.910000;  57.02; 51; 2.10
7392742.155000;  57.02; 53; 1.40
7633192.393000;  57.02; 53; 1.40
7888776.840999;  57.02; 54; 1.06
8144777.193999;  57.02; 55; 0.71
8385871.066999;  57.02; 55; 0.71
8641055.502999;  57.02; 55; 0.71
8880751.280999;  57.02; 56; 0.36
9137147.395999;  57.02; 56; 0.36
9377761.449999;  57.02; 56; 0.36
9633293.314000;  148.13; 56; 19.99
9888854.955999;  148.13; 79; 18.69
10129243.485000;  148.13; 96; 15.79
10385484.959999;  148.13; 110; 12.35
10626644.799999;  148.13; 119; 9.74
10881898.476000;  148.13; 126; 7.54
11120823.610000;  148.13; 132; 5.56
11376907.696999;  148.13; 136; 4.20
11616708.302999;  148.13; 139; 3.17
11873042.479000;  148.13; 141; 2.48
12128828.750000;  148.13; 143; 1.79
12370193.048999;  148.13; 144; 1.44
12624959.018999;  148.13; 145; 1.09
12864851.530999;  148.13; 146; 0.74
13120808.801000;  148.13; 146; 0.74
13362054.087999;  148.13; 146; 0.74
13617897.007999;  148.13; 147; 0.40
13873722.389999;  5.17; 147; -12.36
14114831.883999;  5.17; 113; -19.04
14369901.431000;  5.17; 85; -19.69
14609908.845999;  5.17; 66; -17.46
14866053.580000;  5.17; 50; -14.10
15104792.785999;  5.17; 40; -11.42
15360716.691999;  5.17; 31; -8.71
15602085.139999;  5.17; 24; -6.45
15857737.730000;  5.17; 20; -5.12
16113280.530999;  5.17; 16; -3.76
16352899.073999;  5.17; 13; -2.72
16610182.474999;  5.17; 11; -2.03
16848918.746998;  5.17; 10; -1.68
17105817.076999;  5.17; 9; -1.33
17357578.679999;  5.17; 8; -0.99
17600747.907999;  5.17; 8; -0.99
17857952.859999;  5.17; 7; -0.64
18096848.954999;  5.17; 7; -0.64
18354142.217000;  5.17; 7; -0.64
18593202.526999;  5.17; 6; -0.29
18848993.717999;  5.17; 6; -0.29
19105103.177999;  5.17; 6; -0.29
19345445.660999;  5.17; 6; -0.29
19584962.533999;  5.17; 6; -0.29
19840727.476999;  -48.22; 6; -16.23
20096772.525999;  -48.22; -7; -13.18
20336948.378999;  -48.22; -17; -10.37
20592782.945999;  -48.22; -25; -7.89
20834038.111000;  -48.22; -30; -6.25
21088755.419999;  -48.22; -35; -4.57
21328778.488999;  -48.22; -38; -3.55
21585308.391999;  -48.22; -41; -2.51
21841091.434000;  -48.22; -43; -1.82
22082401.089999;  -48.22; -44; -1.47
22338362.959000;  -48.22; -45; -1.12
22576805.376999;  -48.22; -45; -1.12
22832793.933000;  -48.22; -46; -0.78
23072770.862000;  -48.22; -46; -0.78
23328850.657000;  -48.22; -47; -0.43
23570029.914000;  -48.22; -47; -0.43
23824779.478999;  -48.22; -47; -0.43
24081498.889999;  -48.22; -47; -0.43
24321121.504999;  -48.22; -47; -0.43
24576805.775999;  -48.22; -48; -0.08
