Time; Serial.print output 
59495271.658001;  21.23; -2.18
59750965.451002;  15.57; -0.44
59990977.728001;  11.33; -0.46
60246047.848001;  9.20; 0.24
60502036.289001;  7.08; 0.94
60743780.094000;  4.96; 1.64
60997860.768000;  3.54; 1.30
61237857.301001;  2.84; 0.24
61494004.250000;  2.13; 0.95
61735097.534000;  2.13; 0.95
61991422.072001;  0.71; 0.60
62245834.696001;  0.71; 0.60
62485946.022001;  0.71; 0.60
62741940.401001;  0.71; 0.25
62981910.060001;  0.71; 0.25
63238502.488001;  0.00; 0.95
63478843.973000;  0.00; 0.95
63734720.131001;  0.00; 0.95
63975590.527000;  0.00; 0.95
64230142.733000;  0.00; 0.95
64485928.704002;  0.00; 0.95
64725928.135002;  0.00; 0.95
64982953.388000;  0.00; 0.95
65221862.896000;  0.00; 0.95
65479414.876001;  0.00; 0.95
65719135.632000;  0.00; 0.95
65973876.823000;  0.00; 0.95
66230385.707001;  0.00; 0.95
66469875.619001;  0.00; 0.95
66727339.255001;  0.00; 0.95
66965936.472000;  0.00; 0.95
67221909.311001;  0.00; 0.95
67463661.538000;  0.00; 0.95
67719082.247000;  0.00; 0.95
67957874.921999;  0.00; 0.95
68213906.713001;  0.00; 0.95
68469884.354000;  0.00; 0.95
68711428.763000;  0.00; 0.95
68966932.261000;  0.00; 0.95
69205832.241001;  0.00; 0.95
69461865.146000;  0.00; 0.95
69701866.248001;  0.00; 0.95
69958050.259001;  0.00; 0.95
70213862.790001;  0.00; 0.95
70454408.929001;  0.00; 0.95
70710312.072001;  0.00; 0.95
70949935.890001;  0.00; 0.95
